Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
168536;28955;965;59;91;82;12;Савёловский;LINESTRING (37.56629 55.797139, 37.565302 55.797069);POINT (37.5658 55.7971);myData.biz;55.797139;37.56629;55.797069;37.565302
168537;191;6;0;0;0;0;Савёловский;LINESTRING (37.576087 55.792232, 37.574828 55.792187);POINT (37.5755 55.7922);myData.biz;55.792232;37.576087;55.792187;37.574828
168538;35294;1176;73;111;99;15;Савёловский;LINESTRING (37.574828 55.792187, 37.574861 55.791989);POINT (37.5748 55.7921);myData.biz;55.792187;37.574828;55.791989;37.574861
168539;95770;3192;198;303;271;41;Савёловский;LINESTRING (37.574861 55.791989, 37.57436 55.79197);POINT (37.5746 55.792);myData.biz;55.791989;37.574861;55.79197;37.57436
168540;96431;3214;199;305;273;41;Савёловский;LINESTRING (37.57436 55.79197, 37.574329 55.791953);POINT (37.5743 55.792);myData.biz;55.79197;37.57436;55.791953;37.574329
168541;96431;3214;199;305;273;41;Савёловский;LINESTRING (37.574329 55.791953, 37.574208 55.791951);POINT (37.5743 55.792);myData.biz;55.791953;37.574329;55.791951;37.574208
168542;74406;2480;154;235;210;32;Савёловский;LINESTRING (37.573434 55.791921, 37.572815 55.791889);POINT (37.5731 55.7919);myData.biz;55.791921;37.573434;55.791889;37.572815
168543;74406;2480;154;235;210;32;Савёловский;LINESTRING (37.572815 55.791889, 37.572777 55.791911);POINT (37.5728 55.7919);myData.biz;55.791889;37.572815;55.791911;37.572777
168544;74406;2480;154;235;210;32;Савёловский;LINESTRING (37.572777 55.791911, 37.572653 55.791906);POINT (37.5727 55.7919);myData.biz;55.791911;37.572777;55.791906;37.572653
168545;72127;2404;149;228;204;31;Савёловский;LINESTRING (37.57254 55.791881, 37.570018 55.791762);POINT (37.5713 55.7918);myData.biz;55.791881;37.57254;55.791762;37.570018
168546;94652;3155;196;299;268;41;Савёловский;LINESTRING (37.570018 55.791762, 37.569911 55.791772);POINT (37.57 55.7918);myData.biz;55.791762;37.570018;55.791772;37.569911
