Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
266575;77338;2577;160;244;219;33;Южное Медведково;LINESTRING (37.642216 55.870916, 37.642097 55.870913);POINT (37.6422 55.8709);myData.biz;55.870916;37.642216;55.870913;37.642097
266576;64273;2142;133;203;182;27;Южное Медведково;LINESTRING (37.642097 55.870913, 37.639758 55.870696);POINT (37.6409 55.8708);myData.biz;55.870913;37.642097;55.870696;37.639758
266577;213848;7128;442;677;605;92;Южное Медведково;LINESTRING (37.639758 55.870696, 37.6396 55.870701);POINT (37.6397 55.8707);myData.biz;55.870696;37.639758;55.870701;37.6396
266578;213848;7128;442;677;605;92;Южное Медведково;LINESTRING (37.6396 55.870701, 37.639495 55.870756);POINT (37.6395 55.8707);myData.biz;55.870701;37.6396;55.870756;37.639495
266579;213848;7128;442;677;605;92;Южное Медведково;LINESTRING (37.639495 55.870756, 37.638747 55.870701);POINT (37.6391 55.8707);myData.biz;55.870756;37.639495;55.870701;37.638747
266580;213848;7128;442;677;605;92;Южное Медведково;LINESTRING (37.638747 55.870701, 37.638689 55.870768);POINT (37.6387 55.8707);myData.biz;55.870701;37.638747;55.870768;37.638689
266581;213848;7128;442;677;605;92;Южное Медведково;LINESTRING (37.638689 55.870768, 37.638446 55.870766);POINT (37.6386 55.8708);myData.biz;55.870768;37.638689;55.870766;37.638446
266582;404145;13471;837;1279;1145;175;Южное Медведково;LINESTRING (37.638446 55.870766, 37.638287 55.870765);POINT (37.6384 55.8708);myData.biz;55.870766;37.638446;55.870765;37.638287
266583;404145;13471;837;1279;1145;175;Южное Медведково;LINESTRING (37.638287 55.870765, 37.638211 55.870767);POINT (37.6382 55.8708);myData.biz;55.870765;37.638287;55.870767;37.638211
266584;406472;13549;841;1287;1151;176;Южное Медведково;LINESTRING (37.638211 55.870767, 37.63809 55.870813);POINT (37.6382 55.8708);myData.biz;55.870767;37.638211;55.870813;37.63809
266585;406472;13549;841;1287;1151;176;Южное Медведково;LINESTRING (37.63809 55.870813, 37.63785 55.870793);POINT (37.638 55.8708);myData.biz;55.870813;37.63809;55.870793;37.63785
266586;337277;11242;698;1067;955;146;Южное Медведково;LINESTRING (37.63785 55.870793, 37.635114 55.870526);POINT (37.6365 55.8707);myData.biz;55.870793;37.63785;55.870526;37.635114
266587;347145;11571;719;1099;983;150;Южное Медведково;LINESTRING (37.635114 55.870526, 37.635145 55.870427);POINT (37.6351 55.8705);myData.biz;55.870526;37.635114;55.870427;37.635145
266588;347145;11571;719;1099;983;150;Южное Медведково;LINESTRING (37.635145 55.870427, 37.6353 55.870413);POINT (37.6352 55.8704);myData.biz;55.870427;37.635145;55.870413;37.6353
266589;347145;11571;719;1099;983;150;Южное Медведково;LINESTRING (37.6353 55.870413, 37.635353 55.870211);POINT (37.6353 55.8703);myData.biz;55.870413;37.6353;55.870211;37.635353
266590;212427;7080;439;672;601;92;Южное Медведково;LINESTRING (37.635353 55.870211, 37.635427 55.869979);POINT (37.6354 55.8701);myData.biz;55.870211;37.635353;55.869979;37.635427
266591;191785;6392;397;607;543;83;Южное Медведково;LINESTRING (37.635427 55.869979, 37.635098 55.869955);POINT (37.6353 55.87);myData.biz;55.869979;37.635427;55.869955;37.635098
266592;191785;6392;397;607;543;83;Южное Медведково;LINESTRING (37.635098 55.869955, 37.634749 55.869988);POINT (37.6349 55.87);myData.biz;55.869955;37.635098;55.869988;37.634749
